t,xPred,yPred,xPrey,yPrey
28.9666666666667,NaN,NaN,NaN,NaN
28.975,NaN,NaN,NaN,NaN
28.9833333333333,NaN,NaN,NaN,NaN
28.9916666666667,NaN,NaN,NaN,NaN
29,NaN,NaN,NaN,NaN
29.0083333333333,NaN,NaN,NaN,NaN
29.0166666666667,NaN,NaN,NaN,NaN
29.025,NaN,NaN,NaN,NaN
29.0333333333333,NaN,NaN,NaN,NaN
29.0416666666667,NaN,NaN,NaN,NaN
29.05,NaN,NaN,NaN,NaN
29.0583333333333,NaN,NaN,NaN,NaN
29.0666666666667,NaN,NaN,NaN,NaN
29.075,NaN,NaN,NaN,NaN
29.0833333333333,NaN,NaN,NaN,NaN
29.0916666666667,NaN,NaN,NaN,NaN
29.1,NaN,NaN,NaN,NaN
29.1083333333333,NaN,NaN,NaN,NaN
29.1166666666667,NaN,NaN,NaN,NaN
29.125,NaN,NaN,NaN,NaN
29.1333333333333,NaN,NaN,NaN,NaN
29.1416666666667,NaN,NaN,NaN,NaN
29.15,NaN,NaN,NaN,NaN
29.1583333333333,NaN,NaN,NaN,NaN
29.1666666666667,NaN,NaN,NaN,NaN
29.175,NaN,NaN,NaN,NaN
29.1833333333333,NaN,NaN,NaN,NaN
29.1916666666667,NaN,NaN,NaN,NaN
29.2,NaN,NaN,NaN,NaN
29.2083333333333,NaN,NaN,NaN,NaN
29.2166666666667,NaN,NaN,NaN,NaN
29.225,NaN,NaN,NaN,NaN
29.2333333333333,NaN,NaN,NaN,NaN
29.2416666666667,NaN,NaN,NaN,NaN
29.25,NaN,NaN,NaN,NaN
29.2583333333333,NaN,NaN,NaN,NaN
29.2666666666667,NaN,NaN,NaN,NaN
29.275,NaN,NaN,NaN,NaN
29.2833333333333,NaN,NaN,NaN,NaN
29.2916666666667,NaN,NaN,NaN,NaN
29.3,NaN,NaN,NaN,NaN
29.3083333333333,NaN,NaN,NaN,NaN
29.3166666666667,NaN,NaN,NaN,NaN
29.325,NaN,NaN,NaN,NaN
29.3333333333333,NaN,NaN,NaN,NaN
29.3416666666667,NaN,NaN,NaN,NaN
29.35,NaN,NaN,NaN,NaN
29.3583333333333,NaN,NaN,NaN,NaN
29.3666666666667,NaN,NaN,NaN,NaN
29.375,NaN,NaN,NaN,NaN
29.3833333333333,NaN,NaN,NaN,NaN
29.3916666666667,NaN,NaN,NaN,NaN
29.4,NaN,NaN,NaN,NaN
29.4083333333333,NaN,NaN,NaN,NaN
29.4166666666667,NaN,NaN,NaN,NaN
29.425,NaN,NaN,NaN,NaN
29.4333333333333,NaN,NaN,NaN,NaN
29.4416666666667,NaN,NaN,NaN,NaN
29.45,NaN,NaN,NaN,NaN
29.4583333333333,NaN,NaN,NaN,NaN
29.4666666666667,NaN,NaN,NaN,NaN
29.475,NaN,NaN,NaN,NaN
29.4833333333333,NaN,NaN,NaN,NaN
29.4916666666667,NaN,NaN,NaN,NaN
29.5,NaN,NaN,NaN,NaN
29.5083333333333,NaN,NaN,NaN,NaN
29.5166666666667,NaN,NaN,NaN,NaN
29.525,NaN,NaN,NaN,NaN
29.5333333333333,NaN,NaN,NaN,NaN
29.5416666666667,NaN,NaN,NaN,NaN
29.55,NaN,NaN,NaN,NaN
29.5583333333333,NaN,NaN,NaN,NaN
29.5666666666667,NaN,NaN,NaN,NaN
29.575,NaN,NaN,NaN,NaN
29.5833333333333,NaN,NaN,NaN,NaN
29.5916666666667,NaN,NaN,NaN,NaN
29.6,NaN,NaN,NaN,NaN
29.6083333333333,NaN,NaN,NaN,NaN
29.6166666666667,NaN,NaN,NaN,NaN
29.625,NaN,NaN,NaN,NaN
29.6333333333333,NaN,NaN,NaN,NaN
29.6416666666667,NaN,NaN,NaN,NaN
29.65,NaN,NaN,NaN,NaN
29.6583333333333,NaN,NaN,NaN,NaN
29.6666666666667,NaN,NaN,NaN,NaN
29.675,NaN,NaN,NaN,NaN
29.6833333333333,NaN,NaN,NaN,NaN
29.6916666666667,NaN,NaN,NaN,NaN
29.7,NaN,NaN,NaN,NaN
29.7083333333333,NaN,NaN,NaN,NaN
29.7166666666667,NaN,NaN,NaN,NaN
29.725,NaN,NaN,NaN,NaN
29.7333333333333,NaN,NaN,NaN,NaN
29.7416666666667,NaN,NaN,NaN,NaN
29.75,NaN,NaN,NaN,NaN
29.7583333333333,NaN,NaN,NaN,NaN
29.7666666666667,NaN,NaN,NaN,NaN
29.775,NaN,NaN,NaN,NaN
29.7833333333333,NaN,NaN,NaN,NaN
29.7916666666667,NaN,NaN,NaN,NaN
29.8,NaN,NaN,NaN,NaN
29.8083333333333,NaN,NaN,NaN,NaN
29.8166666666667,NaN,NaN,NaN,NaN
29.825,NaN,NaN,NaN,NaN
29.8333333333333,NaN,NaN,NaN,NaN
29.8416666666667,NaN,NaN,NaN,NaN
29.85,NaN,NaN,NaN,NaN
29.8583333333333,NaN,NaN,NaN,NaN
29.8666666666667,NaN,NaN,NaN,NaN
29.875,NaN,NaN,NaN,NaN
29.8833333333333,NaN,NaN,NaN,NaN
29.8916666666667,NaN,NaN,NaN,NaN
29.9,NaN,NaN,NaN,NaN
29.9083333333333,NaN,NaN,NaN,NaN
29.9166666666667,NaN,NaN,NaN,NaN
29.925,NaN,NaN,NaN,NaN
29.9333333333333,NaN,NaN,NaN,NaN
29.9416666666667,NaN,NaN,NaN,NaN
29.95,NaN,NaN,NaN,NaN
29.9583333333333,NaN,NaN,NaN,NaN
29.9666666666667,NaN,NaN,NaN,NaN
29.975,NaN,NaN,NaN,NaN
29.9833333333333,NaN,NaN,NaN,NaN
29.9916666666667,NaN,NaN,NaN,NaN
30,NaN,NaN,NaN,NaN
30.0083333333333,NaN,NaN,NaN,NaN
30.0166666666667,NaN,NaN,NaN,NaN
30.025,NaN,NaN,NaN,NaN
30.0333333333333,NaN,NaN,NaN,NaN
30.0416666666667,NaN,NaN,NaN,NaN
30.05,NaN,NaN,NaN,NaN
30.0583333333333,NaN,NaN,NaN,NaN
30.0666666666667,NaN,NaN,NaN,NaN
30.075,NaN,NaN,NaN,NaN
30.0833333333333,NaN,NaN,NaN,NaN
30.0916666666667,NaN,NaN,NaN,NaN
30.1,NaN,NaN,NaN,NaN
30.1083333333333,NaN,NaN,NaN,NaN
30.1166666666667,NaN,NaN,NaN,NaN
30.125,NaN,NaN,NaN,NaN
30.1333333333333,NaN,NaN,NaN,NaN
30.1416666666667,NaN,NaN,NaN,NaN
30.15,NaN,NaN,NaN,NaN
30.1583333333333,NaN,NaN,NaN,NaN
30.1666666666667,NaN,NaN,NaN,NaN
30.175,NaN,NaN,NaN,NaN
30.1833333333333,NaN,NaN,NaN,NaN
30.1916666666667,NaN,NaN,NaN,NaN
30.2,NaN,NaN,NaN,NaN
30.2083333333333,NaN,NaN,NaN,NaN
30.2166666666667,NaN,NaN,NaN,NaN
30.225,NaN,NaN,NaN,NaN
30.2333333333333,NaN,NaN,NaN,NaN
30.2416666666667,NaN,NaN,NaN,NaN
30.25,NaN,NaN,NaN,NaN
30.2583333333333,NaN,NaN,NaN,NaN
30.2666666666667,NaN,NaN,NaN,NaN
30.275,NaN,NaN,NaN,NaN
30.2833333333333,NaN,NaN,NaN,NaN
30.2916666666667,NaN,NaN,NaN,NaN
30.3,NaN,NaN,NaN,NaN
30.3083333333333,NaN,NaN,NaN,NaN
30.3166666666667,NaN,NaN,NaN,NaN
30.325,NaN,NaN,NaN,NaN
30.3333333333333,NaN,NaN,NaN,NaN
30.3416666666667,NaN,NaN,NaN,NaN
30.35,NaN,NaN,NaN,NaN
30.3583333333333,NaN,NaN,NaN,NaN
30.3666666666667,NaN,NaN,NaN,NaN
30.375,NaN,NaN,NaN,NaN
30.3833333333333,NaN,NaN,NaN,NaN
30.3916666666667,NaN,NaN,NaN,NaN
30.4,NaN,NaN,NaN,NaN
30.4083333333333,NaN,NaN,NaN,NaN
30.4166666666667,NaN,NaN,NaN,NaN
30.425,NaN,NaN,NaN,NaN
30.4333333333333,NaN,NaN,NaN,NaN
30.4416666666667,NaN,NaN,NaN,NaN
30.45,NaN,NaN,NaN,NaN
30.4583333333333,NaN,NaN,NaN,NaN
30.4666666666667,NaN,NaN,NaN,NaN
30.475,NaN,NaN,NaN,NaN
30.4833333333333,NaN,NaN,NaN,NaN
30.4916666666667,NaN,NaN,NaN,NaN
30.5,NaN,NaN,NaN,NaN
30.5083333333333,NaN,NaN,NaN,NaN
30.5166666666667,NaN,NaN,NaN,NaN
30.525,NaN,NaN,NaN,NaN
30.5333333333333,NaN,NaN,NaN,NaN
30.5416666666667,NaN,NaN,NaN,NaN
30.55,NaN,NaN,NaN,NaN
30.5583333333333,NaN,NaN,NaN,NaN
30.5666666666667,NaN,NaN,NaN,NaN
30.575,NaN,NaN,NaN,NaN
30.5833333333333,NaN,NaN,NaN,NaN
30.5916666666667,NaN,NaN,NaN,NaN
30.6,NaN,NaN,NaN,NaN
30.6083333333333,NaN,NaN,NaN,NaN
30.6166666666667,NaN,NaN,NaN,NaN
30.625,1335.2073,366.6193,NaN,NaN
30.6333333333333,1332.5133,371.7272,NaN,NaN
30.6416666666667,1331.5942,373.6421,NaN,NaN
30.65,1331.3842,383.0043,NaN,NaN
30.6583333333333,1332.2377,389.5281,NaN,NaN
30.6666666666667,1330.9619,393.5723,NaN,NaN
30.675,1331.1042,398.6801,NaN,NaN
30.6833333333333,1329.4739,402.0153,NaN,NaN
30.6916666666667,1329.9729,409.9572,NaN,NaN
30.7,1328.3426,418.6081,NaN,NaN
30.7083333333333,1326.0054,422.2978,NaN,NaN
30.7166666666667,1326.5022,425.2785,NaN,NaN
30.725,1325.9376,430.7387,NaN,NaN
30.7333333333333,1324.3073,439.3895,NaN,NaN
30.7416666666667,1322.6792,441.3066,NaN,NaN
30.75,1324.5963,452.4414,NaN,NaN
30.7583333333333,1321.5502,457.5492,NaN,NaN
30.7666666666667,1322.4038,460.8844,NaN,NaN
30.775,1324.3209,467.0537,NaN,NaN
30.7833333333333,1323.0474,470.7412,NaN,NaN
30.7916666666667,1321.7715,475.8468,NaN,NaN
30.8,1321.9138,482.016,NaN,NaN
30.8083333333333,1320.9926,487.8307,NaN,NaN
30.8166666666667,1320.0713,494.3544,NaN,NaN
30.825,1319.15,500.1713,NaN,NaN
30.8333333333333,1317.5196,505.2769,NaN,NaN
30.8416666666667,1316.6005,509.319,NaN,NaN
30.85,1316.745,515.136,NaN,NaN
30.8583333333333,1316.1782,518.1144,NaN,NaN
30.8666666666667,1315.6115,525.7018,NaN,NaN
30.875,1314.3112,531.9796,NaN,NaN
30.8833333333333,1313.4099,533.4753,NaN,NaN
30.8916666666667,1314.5028,541.9467,NaN,NaN
30.9,1312.8038,547.8296,NaN,NaN
30.9083333333333,1312.3013,551.9177,NaN,NaN
30.9166666666667,1311.4,558.3989,NaN,NaN
30.925,1312.094,561.0871,NaN,NaN
30.9333333333333,1311.5954,569.363,NaN,NaN
30.9416666666667,1311.4917,575.4414,NaN,NaN
30.95,1310.7898,579.725,NaN,NaN
30.9583333333333,1310.6861,585.2051,NaN,NaN
30.9666666666667,1310.383,591.6823,NaN,NaN
30.975,1310.0799,597.1624,NaN,NaN
30.9833333333333,1308.5842,603.4441,NaN,NaN
30.9916666666667,1307.6829,607.5283,NaN,NaN
31,1307.5792,613.0084,NaN,NaN
31.0083333333333,1306.6779,619.0907,NaN,NaN
31.0166666666667,1306.5742,623.5777,NaN,NaN
31.025,1305.8723,628.4595,NaN,NaN
31.0333333333333,1305.972,633.7402,NaN,NaN
31.0416666666667,1305.274,640.2174,NaN,NaN
31.05,1303.3756,642.3074,NaN,NaN
31.0583333333333,1305.0667,647.3887,NaN,NaN
31.0666666666667,1302.5739,655.2618,NaN,NaN
31.075,1302.8691,660.3431,1187.2974,1420.8544
31.0833333333333,1302.7694,665.6238,1186.9767,1420.9986
31.0916666666667,1302.6657,669.708,1187.3549,1421.3768
31.1,1302.9609,675.9858,1187.2683,1421.2902
31.1083333333333,1303.26,679.6751,1186.9476,1421.2036
31.1166666666667,1302.3587,685.3546,1187.3258,1421.5818
31.125,1301.8562,690.2364,1187.0051,1422.6653
31.1333333333333,1301.3576,698.309,1186.6812,1422.3446
31.1416666666667,1301.0545,702.5926,1186.5946,1421.7899
31.15,1300.1571,707.0756,1186.742,1421.7001
31.1583333333333,1299.0603,711.3631,1185.9501,1422.0815
31.1666666666667,1298.3623,717.0426,1186.0943,1422.2257
31.175,1297.6604,722.1278,1186.2385,1422.1359
31.1833333333333,1296.3602,727.8113,1186.6167,1422.5141
31.1916666666667,1295.8577,729.9013,1185.594,1422.1934
31.2,1295.1597,736.7813,1185.2733,1421.4015
31.2083333333333,1294.0629,741.6631,1184.7186,1421.3149
31.2166666666667,1294.362,746.1461,1185.3341,1421.9304
31.225,1295.056,752.029,1183.8433,1422.0746
31.2333333333333,1293.5603,755.9177,1183.7535,1422.4528
31.2416666666667,1293.0578,762,1183.4296,1422.6002
31.25,1291.7616,768.2817,1183.577,1422.7476
31.2583333333333,1291.8574,772.9641,1183.7244,1422.4237
31.2666666666667,1291.9571,780.0435,1183.6378,1422.8051
31.275,1291.8574,783.7328,1184.0192,1422.4812
31.2833333333333,1290.7606,791.6059,1182.7592,1423.0967
31.2916666666667,1290.6569,796.4877,1183.1374,1423.709
31.3,1289.7556,801.3695,1183.0476,1423.1543
31.3083333333333,1290.2502,805.6531,1183.1918,1422.8304
31.3166666666667,1289.5483,811.3326,1182.6339,1422.5065
31.325,1288.647,815.8156,1183.2494,1422.6539
31.3333333333333,1288.9422,821.2957,1183.1596,1422.8013
31.3416666666667,1287.646,825.3799,1183.3038,1421.7753
31.35,1286.3458,829.6635,1182.5151,1422.1535
31.3583333333333,1285.6439,834.9442,1182.1944,1422.7658
31.3666666666667,1285.1414,838.8329,1182.1046,1422.676
31.375,1284.244,846.1117,1182.0148,1423.0574
31.3833333333333,1282.9438,850.9975,1182.393,1421.7974
31.3916666666667,1282.2458,856.4816,1182.0723,1421.2395
31.4,1282.1421,861.9617,1181.9825,1421.8518
31.4083333333333,1282.0424,865.0527,1182.3607,1421.5279
31.4166666666667,1281.3444,872.531,1181.806,1421.9093
31.425,1280.8419,876.2163,1181.4821,1421.8195
31.4333333333333,1281.141,878.1068,1181.1614,1422.6658
31.4416666666667,1279.4459,886.7816,1181.5396,1423.5153
31.45,1277.1486,892.6605,1180.9849,1422.0245
31.4583333333333,1277.6472,898.9383,1181.1291,1422.6368
