encounter,shark,Transmitter Serial,Transmitter,Tag type,Tag family,encounter_type,when_encountered,latitude,longitude,tag_location,capture_method,sex,disposition,tempo_boat_name,net,units,dorsal fin girth,fork length,inner clasper length,outer clasper length,pectoral fin girth,precaudal length,total natural,total stretch,total weight kg,tag_life
34,2010-16,1096830,A69-1303-46863,Acoustic,V16-6x-069k-1,Commercial Fishing,2010-08-17,34.0285,-118.5443,Unknown,purse_seine,F,Live,Barbara H,Purse seine,cm,100,170,,,,151,200,,98,3033
35,2010-17,1096829,A69-1303-46862,Acoustic,V16-6x-069k-1,Commercial Fishing,2010-08-18,34.0164,-118.5202,Unknown,purse_seine,F,Live,Barbara H,Purse seine,cm,75.5,146,,,,126,166,,37.2,3033
36,2010-18,1096828,A69-1303-46861,Acoustic,V16-6x-069k-1,Commercial Fishing,2010-08-18,34.0187,-118.5197,Unknown,purse_seine,F,Live,Barbara H,Purse seine,cm,80.5,143.5,,,,127,155,,,3033
37,2010-19,1096827,A69-1303-46860,Acoustic,V16-6x-069k-1,Commercial Fishing,2010-08-19,34.0295,-118.5788,Unknown,purse_seine,M,Live,Barbara H,Purse seine,cm,86,149.2,12,6,,132,162,,,3033
15,2011-03,1104197,A69-1303-45044,Acoustic,V16-6x-069k-1,Commercial Fishing,2011-07-10,34.2517,-119.4022,Unknown,gillnet,F,Live,Aurelia ID# L17270,Unspecified Gillnet,cm,51,116,,,,101,128,132,14.1,3033
17,2011-05,1104200,A69-1303-45047,Acoustic,V16-6x-069k-1,Commercial Fishing,2011-08-01,34.2317,-119.3392,Unknown,gillnet,F,Live,Jacquelyn ID# 33828,Unspecified Gillnet,cm,79,143,,,,125,157,165,40.9,3033
199,2011-06,1104198,A69-1303-45045,Acoustic,V16-6x-069k-1,SharkLab Team,2011-10-25,,,Unknown,purse_seine,M,Live,,Purse seine,cm,64.5,130.5,,,,129,140.5,,23.6,3033
2,2012-01,1096826,A69-1303-46859,Acoustic,V16-6x-069k-1,Commercial Fishing,2012-06-14,34.2057,-119.3229,Unknown,gillnet,F,Live,Jacquelyn ID# 33828,Set Gillnet,cm,71.5,135,,,73.5,119,146,156,30.8,3033
4,2012-03,1104201,A69-1303-45048,Acoustic,V16-6x-069k-1,Commercial Fishing,2012-06-23,,,Unknown,gillnet,F,Live,Sandy Bea #54376,Unspecified Gillnet,cm,69.2,129,,,71,114,146,150,27.4,3033
7,2012-07,1144529,A69-1601-30029,Acoustic,V16-6x-069k-1,Commercial Fishing,2012-08-16,33.991,-118.484,Unknown,purse_seine,M,Live,In Seine,Purse seine,cm,76,138,,,79,122,145,155.5,,3039
8,2012-08,1144530,A69-1601-30030,Acoustic,V16-6x-069k-1,Commercial Fishing,2012-08-17,34.154,-119.232,Unknown,gillnet,M,Live,Sandy Bea #54376,Set Gillnet,cm,,129,11,5.5,,113,143,146,26.4,3039
106,2013-01,1144528,A69-1601-30028,Acoustic,V16-6x-069k-1,Commercial Fishing,2013-08-28,33.9973,-118.527,Unknown,purse_seine,F,Live,In Seine,Purse seine,cm,74,142,,,76,126,159,161.5,36.35,3039
107,2014-04,1198170,A69-1601-19099,Acoustic,V13-1x-069k-3,Other,2014-11-06,33.882561,-118.414091,Unknown,dart,U,Live,Lifeguard,Other,,,,,,,,,,,362
108,2014-05,1198168,A69-1601-19097,Acoustic,V13-1x-069k-3,Other,2014-11-06,33.887518,-118.416898,Unknown,dart,U,Live,Lifeguard,Other,,,,,,,,,,,362
109,2014-06,1198169,A69-1601-19098,Acoustic,V13-1x-069k-3,Other,2014-11-06,33.876502,-118.411591,Unknown,dart,U,Live,Lifeguard,Other,,,,,,,,,,,362
110,2014-07,1104199,A69-1303-45046,Acoustic,V16-6x-069k-1,Commercial Fishing,2014-11-06,33.879816,-118.416479,Unknown,purse_seine,M,Live,In Seince,Purse seine,cm,93,179,6,8,,155,198,203,71.9,3033
114,2015-01,1202720,A69-1601-21541,Acoustic,V13-1x-069k-3,Commercial Fishing,2015-03-20,34.2405,-119.266,Unknown,dart,U,Live,Ventura Harbor Patrol,Other,cm,,,,,,,,,,362
115,2015-02,1202721,A69-1601-21542,Acoustic,V13-1x-069k-3,Commercial Fishing,2015-03-20,34.21533,-119.26191,Unknown,dart,U,Live,Ventura Harbor Patrol,Other,cm,,,,,,,,,,362
116,2015-03,1202722,A69-1601-21543,Acoustic,V13-1x-069k-3,Commercial Fishing,2015-03-20,34.22048,-119.26405,Unknown,dart,U,Live,Ventura Harbor Patrol,Other,cm,,,,,,,,,,362
117,2015-04,1213896,A69-1601-33119,Acoustic,V13-1x-069k-3,Other,2015-05-22,33.705486,-118.060633,Unknown,dart,U,Live,Lifeguard,Other,cm,,,,,,,152,,,362
118,2015-05,1202725,A69-1601-21546,Acoustic,V13-1x-069k-3,Other,2015-05-22,33.705486,-118.060633,Unknown,dart,U,Live,Lifeguard,Other,cm,,,,,,,152,,,362
119,2015-06,1213899,A69-1601-33122,Acoustic,V13-1x-069k-3,Other,2015-05-22,33.705486,-118.060633,Unknown,dart,U,Live,Lifeguard,Other,cm,,,,,,,152,,,362
120,2015-07,1213897,A69-1601-33120,Acoustic,V13-1x-069k-3,Other,2015-05-22,33.705486,-118.060633,Unknown,dart,U,Live,Lifeguard,Other,cm,,,,,,,152,,,362
121,2015-08,1213898,A69-1601-33121,Acoustic,V13-1x-069k-3,Other,2015-05-22,33.705486,-118.060633,Unknown,dart,U,Live,Lifeguard,Other,cm,,,,,,,152,,,362
122,2015-09,1213901,A69-1601-33124,Acoustic,V13-1x-069k-3,Other,2015-05-22,33.705486,-118.060633,Unknown,dart,U,Live,Lifeguard,Other,cm,,,,,,,168,,,362
123,2015-10,1104196,A69-1303-45043,Acoustic,V16-6x-069k-1,Commercial Fishing,2015-07-25,34.07209,-119.16602,Unknown,gillnet,M,Live,Bandy B.,Set Gillnet,cm,70,140,,,73.5,124,150,161.5,31.5,3033
127,2015-11,1219526,A69-1601-36269,Acoustic,V13-1x-069k-3,Other,2015-08-05,33.727084,-118.085635,Unknown,dart,U,Live,Lifeguard jetski,Other,cm,,,,,,,152,,,362
128,2015-12,1219528,A69-1601-36271,Acoustic,V13-1x-069k-3,Other,2015-08-05,33.727084,-118.085635,Unknown,dart,U,Live,Lifeguard jetski,Other,cm,,,,,,,152,,,362
96,2015-14,1219529,A69-1601-36272,Acoustic,V13-1x-069k-3,Other,2015-08-05,33.727084,-118.085635,Unknown,dart,U,Live,Lifeguard,Other,cm,,,,,,,182,,,362
129,2015-15,1219530,A69-1601-36273,Acoustic,V13-1x-069k-3,Other,2015-08-05,33.727084,-118.085635,Unknown,dart,U,Live,Lifeguard jetski,Other,cm,,,,,,,152,,,362
131,2015-18,1222950,A69-1601-37952,Acoustic,V13-1x-069k-3,Other,2015-10-21,33.72641,-118.08593,Unknown,dart,U,Live,Lifeguard,Other,cm,,,,,,,182,,,653
132,2015-19,1096832,A69-1303-46865,Acoustic,V16-6x-069k-1,Commercial Fishing,2015-12-16,34.3125,-119.49833,Unknown,gillnet,F,Live,Sundowner,Set Gillnet,cm,87,140,,,88.5,129,160,164,53.25,3033
124,2015-1MX,1128091,A69-9001-29673,Acoustic,V16-6x-069k-2,Mexico Team,2015-06-26,28.21393,-114.21166,Unknown,gillnet,M,Live,,Set Gillnet,cm,,,,,,,161,,,3576
125,2015-2MX,1128090,A69-9001-29672,Acoustic,V16-6x-069k-2,Mexico Team,2015-07-12,28.01283,-114.25043,Unknown,gillnet,F,Live,,Set Gillnet,cm,,,,,,,182,,,3576
126,2015-3MX,1128092,A69-9001-29674,Acoustic,V16-6x-069k-2,Mexico Team,2015-07-12,28.01283,-114.25043,Unknown,gillnet,F,Live,,Set Gillnet,cm,,,,,,,152,,,3576
140,2016-03,1226318,,Acoustic,,Commercial Fishing,2016-09-01,34.405,-119.58166,Unknown,dart,M,Live,NOAA thresher survey,Hook and Line,cm,,145,,,,,,,,
136,2016-1MX,1195915,A69-9001-24390,Acoustic,V16-6x-069k-2,Mexico Team,2016-07-15,27.86666,-114.40796,Unknown,gillnet,F,Live,,Other,cm,,146,,,,133,166,,,3650
137,2016-2MX,1195912,A69-9001-24387,Acoustic,V16-6x-069k-2,Mexico Team,2016-07-15,27.86708,-114.40843,Unknown,gillnet,F,Live,,Other,cm,,174,,,,156,193,,,3650
138,2016-3MX,1195913,A69-9001-24388,Acoustic,V16-6x-069k-2,Mexico Team,2016-07-15,27.92738,-114.35183,Unknown,gillnet,M,Live,,Other,cm,,127,,,,112,138,,,3650
139,2016-4MX,1143396,A69-9001-28545,Acoustic,V16-6x-069k-2,Mexico Team,2016-07-16,27.87511,-114.39165,Unknown,gillnet,F,Live,,Other,cm,,175,,,,157,190,,,3576
163,2016-5MX,1195911,A69-9001-24386,Acoustic,V16-6x-069k-2,Mexico Team,2016-07-31,27.87108,-114.40695,Unknown,gillnet,M,Live,,Set Gillnet,cm,,131,,,,116,142,,,3650
141,2017-01,1219516,A69-1601-57523,Acoustic,V16-6x-069k-2,Other,2017-04-22,33.318807,-117.865563,Unknown,dart,F,Live,,Other,,,,,,,,,,,1825
142,2017-02,1222951,A69-1601-37953,Acoustic,V13-1x-069k-3,SharkLab Team,2017-05-02,33.748728,-118.128139,Unknown,dart,U,Live,,Other,cm,,,,,,,152,,,653
143,2017-03,1222957,A69-1601-37959,Acoustic,V13-1x-069k-3,SharkLab Team,2017-05-02,33.748728,-118.128139,Unknown,dart,U,Live,,Other,cm,,,,,,,182,,,653
144,2017-04,1222966,A69-1601-37968,Acoustic,V13-1x-069k-3,SharkLab Team,2017-05-02,33.748728,-118.128139,Unknown,dart,U,Live,,Other,cm,,,,,,,152,,,653
145,2017-05,1222952,A69-1601-37954,Acoustic,V13-1x-069k-3,Commercial Fishing,2017-05-05,33.44939,-117.666506,Unknown,dart,U,Live,Jet ski,Other,cm,,,,,,,182,,,653
146,2017-06,1222954,A69-1601-37956,Acoustic,V13-1x-069k-3,Commercial Fishing,2017-05-05,33.44939,-117.666506,Unknown,dart,U,Live,jet ski,Other,cm,,,,,,,213,,,653
147,2017-07,1222953,A69-1601-37955,Acoustic,V13-1x-069k-3,Commercial Fishing,2017-05-05,33.44939,-117.666506,Unknown,dart,U,Live,jet ski,Other,cm,,,,,,,213,,,653
148,2017-08,1104202,A69-1303-45049,Acoustic,V16-6x-069k-1,Commercial Fishing,2017-05-10,33.745119,-118.11974,Unknown,strikenet,F,Live,DR Nelson,Set Gillnet,cm,91,162,,,,153,182,186,53.5,3033
149,2017-09,1144531,A69-1601-30031,Acoustic,V16-6x-069k-1,Commercial Fishing,2017-05-17,33.746748,118.128611,Unknown,strikenet,F,Live,Parker,Set Gillnet,cm,92,162.5,,,,147,176,189,73,3039
151,2017-10,1222955,A69-1601-37957,Acoustic,V13-1x-069k-3,Other,2017-05-24,33.447879,-117.658559,Unknown,dart,U,Live,Orange County Lifeguard Jetski,Other,cm,,,,,,,182,,,653
150,2017-11,1213906,A69-9001-22255,Acoustic,V16-6x-069k-1,Commercial Fishing,2017-05-25,33.448647,-118.075981,Unknown,strikenet,F,Live,CSULB Whaler,Set Gillnet,cm,93,163,,,,146,186,191,61.7,3650
152,2017-12,1222949,A69-1601-37951,Acoustic,V13-1x-069k-3,SharkLab Team,2017-06-02,33.440079,-117.647624,Unknown,dart,U,Live,,Other,cm,,,,,,,245,,,653
153,2017-13,1222964,A69-1601-37966,Acoustic,V13-1x-069k-3,SharkLab Team,2017-06-02,33.439678,-117.645967,Unknown,dart,U,Live,,Other,cm,,,,,,,275,,,653
154,2017-14,1222958,A69-1601-37960,Acoustic,V13-1x-069k-3,SharkLab Team,2017-06-02,33.445263,-117.653858,Unknown,dart,U,Live,,Other,cm,,,,,,,275,,,653
155,2017-15,1222965,A69-1601-37967,Acoustic,V13-1x-069k-3,SharkLab Team,2017-06-02,33.444762,-117.653858,Unknown,dart,U,Live,,Other,cm,,,,,,,275,,,653
156,2017-16,1222962,A69-1601-37964,Acoustic,V13-1x-069k-3,SharkLab Team,2017-06-02,33.456806,-117.674726,Unknown,dart,U,Live,,Other,cm,,,,,,,182,,,653
157,2017-17,1270636,A69-1602-1355,Acoustic,V13-1x-069k-3,Other,2017-06-13,33.452736,-117.667074,Unknown,dart,U,Live,Dana Point Lifeguards,Other,cm,,,,,,,213,,,653
158,2017-18,1222956,A69-1601-37958,Acoustic,V13-1x-069k-3,SharkLab Team,2017-06-13,33.45273,-117.667074,Unknown,dart,U,Live,,Other,cm,,,,,,,243,,,653
159,2017-19,1213902,A69-9001-22251,Acoustic,V16-6x-069k-1,Commercial Fishing,2017-06-17,34.19044,-119.3133,Unknown,gillnet,M,Live,Phillip Nick,Set Gillnet,cm,67,133.5,,,68,119,149,153,28.3,3650
164,2017-1MX,1128094,A69-9001-29676,Acoustic,V16-6x-069k-2,Mexico Team,2017-06-20,27.8671,-114.38883,Unknown,gillnet,F,Live,,Set Gillnet,cm,,128,,,,119,148,,,3576
160,2017-20,1213907,A69-9001-22256,Acoustic,V16-6x-069k-1,Other,2017-06-22,34.1979,-119.321,Unknown,gillnet,F,Live,,Set Gillnet,cm,70.5,132,,,71.8,117,144,152,28.3,3650
161,2017-21,1213903,A69-9001-22252,Acoustic,V16-6x-069k-1,Commercial Fishing,2017-07-27,,,Unknown,gillnet,F,Live,Philip Nick,Unspecified Gillnet,cm,67,132.3,,,68,117.2,147,153.3,34,3650
162,2017-22,1213904,A69-9001-22253,Acoustic,V16-6x-069k-1,Commercial Fishing,2017-08-12,34.184967,-119.325817,Unknown,gillnet,F,Live,Phillip Nick,Set Gillnet,cm,59,117,,,,104,131.5,136,23.15,3650
168,2017-23,1270635,A69-1602-1354,Acoustic,V13-1x-069k-3,SharkLab Team,2017-08-16,33.455367,-117.67492,Unknown,dart,U,Live,,Other,cm,,,,,,,213,,,653
169,2017-24,1222961,A69-1601-37963,Acoustic,V13-1x-069k-3,SharkLab Team,2017-08-24,34.413,-119.56195,Unknown,dart,U,Live,,Other,cm,,,,,,,274,,,653
170,2017-25,1222960,A69-1601-37962,Acoustic,V13-1x-069k-3,SharkLab Team,2017-08-24,34.41359,-119.56083,Unknown,dart,F,Live,,Other,cm,,,,,,,304,,,653
171,2017-26,1270634,A69-1602-1353,Acoustic,V13-1x-069k-3,SharkLab Team,2017-08-24,34.41295,-119.55989,Unknown,dart,U,Live,,Other,cm,,,,,,,304,,,653
172,2017-27,1270632,A69-1602-1351,Acoustic,V13-1x-069k-3,SharkLab Team,2017-08-24,34.41151,-119.5583,Unknown,dart,U,Live,,Other,cm,,,,,,,304,,,653
173,2017-28,1270633,A69-1602-1352,Acoustic,V13-1x-069k-3,SharkLab Team,2017-08-24,34.41136,-119.5584,Unknown,dart,U,Live,,Other,cm,,,,,,,304,,,653
174,2017-29,1274018,A69-1602-2228,Acoustic,V13-1x-069k-3,SharkLab Team,2017-08-24,34.41322,-119.56049,Unknown,dart,U,Live,,Other,cm,,,,,,,274,,,653
165,2017-2MX,1195909,A69-9001-24384,Acoustic,V16-6x-069k-2,Mexico Team,2017-06-20,27.86618,-114.3887,Unknown,gillnet,M,Live,,Set Gillnet,cm,,138,,,,125,152,,,3650
